,0
2006-12-01,8.15
2007-01-01,7.76
2007-02-01,7.6
2007-03-01,7.67
2007-04-01,7.99
2007-05-01,8.78
2007-06-01,10.07
2007-07-01,11.74
2007-08-01,12.15
2007-09-01,10.72
2007-10-01,9.66
2007-11-01,8.77
2007-12-01,8.29
2008-01-01,7.83
2008-02-01,7.42
2008-03-01,7.88
2008-04-01,7.96
2008-05-01,9.06
2008-06-01,10.32
2008-07-01,11.6
2008-08-01,12.47
2008-09-01,11.34
2008-10-01,9.31
2008-11-01,8.79
2008-12-01,8.05
2009-01-01,7.97
2009-02-01,7.67
2009-03-01,7.94
2009-04-01,7.89
2009-05-01,8.83
2009-06-01,10.38
2009-07-01,11.86
2009-08-01,12.73
2009-09-01,11.23
2009-10-01,9.65
2009-11-01,8.95
2009-12-01,8.61
2010-01-01,7.94
2010-02-01,7.8
2010-03-01,7.82
2010-04-01,7.83
2010-05-01,8.69
2010-06-01,10.73
2010-07-01,11.92
2010-08-01,12.82
2010-09-01,11.82
2010-10-01,10.52
2010-11-01,8.97
2010-12-01,8.12
2011-01-01,7.65
2011-02-01,8.19
2011-03-01,8.1
2011-04-01,8.39
2011-05-01,8.76
2011-06-01,9.75
2011-07-01,11.36
2011-08-01,11.97
2011-09-01,11.24
2011-10-01,9.68
2011-11-01,9.11
2011-12-01,8.19
2012-01-01,7.74
2012-02-01,7.91
2012-03-01,8.09
2012-04-01,7.74
2012-05-01,8.55
2012-06-01,10.7
2012-07-01,11.87
2012-08-01,12.56
2012-09-01,10.67
2012-10-01,9.24
2012-11-01,8.48
2012-12-01,8.99
2013-01-01,7.64
2013-02-01,8.43
2013-03-01,8.17
2013-04-01,8.04
2013-05-01,8.59
2013-06-01,10.28
2013-07-01,11.03
2013-08-01,12.05
2013-09-01,10.48
2013-10-01,9.73
2013-11-01,8.8
2013-12-01,8.43
2014-01-01,8.06
2014-02-01,7.58
2014-03-01,7.9
2014-04-01,7.77
2014-05-01,8.74
2014-06-01,11.52
2014-07-01,11.97
2014-08-01,12.72
2014-09-01,11.67
2014-10-01,9.79
2014-11-01,8.97
2014-12-01,8.39
2015-01-01,7.64
2015-02-01,7.37
2015-03-01,7.26
2015-04-01,7.57
2015-05-01,7.92
2015-06-01,9.22
2015-07-01,10.39
2015-08-01,11.21
2015-09-01,11.18
2015-10-01,10.13
2015-11-01,8.53
2015-12-01,7.82
2016-01-01,7.47
2016-02-01,7.31
2016-03-01,7.61
2016-04-01,7.44
2016-05-01,8.36
2016-06-01,10.0
2016-07-01,11.57
2016-08-01,12.34
2016-09-01,11.22
2016-10-01,9.88
2016-11-01,8.77
2016-12-01,8.34
2017-01-01,7.96
2017-02-01,7.87
2017-03-01,7.74
2017-04-01,7.92
2017-05-01,8.64
2017-06-01,10.34
2017-07-01,11.66
2017-08-01,12.41
2017-09-01,11.51
2017-10-01,10.1
2017-11-01,8.69
2017-12-01,8.06
2018-01-01,7.67
2018-02-01,7.45
2018-03-01,7.44
2018-04-01,7.53
2018-05-01,8.6
2018-06-01,9.85
2018-07-01,10.94
2018-08-01,11.91
2018-09-01,10.73
2018-10-01,9.14
2018-11-01,8.61
2018-12-01,8.25
2019-01-01,7.94
2019-02-01,7.7
2019-03-01,7.84
2019-04-01,7.98
2019-05-01,8.66
2019-06-01,10.1
2019-07-01,11.64
2019-08-01,12.27
2019-09-01,11.01
2019-10-01,10.1
2019-11-01,8.81
2019-12-01,8.3
