,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
24,,,,,,6.81,6.77,6.81,6.88,6.95,7.16,7.49,7.82,8.1,8.35,8.61,8.86,9.12,9.46,9.88,10.19,10.39,10.5,10.52,10.63,10.82,10.91,10.91,10.93
25,,,,9.39,9.23,8.33,8.22,8.07,7.99,7.95,8.03,8.24,8.46,8.66,8.86,9.07,9.28,9.47,9.78,10.18,10.51,10.77,10.94,10.99,11.1,11.25,11.32,11.31,11.13
26,10.06,10.18,10.2,9.73,9.62,9.56,9.42,9.22,9.09,8.99,8.98,9.07,9.16,9.25,9.4,9.6,9.81,10.02,10.32,10.66,10.95,11.21,11.39,11.48,11.57,11.67,11.5,11.49,
27,10.23,10.31,10.34,10.31,10.29,10.25,10.16,10.05,9.97,9.88,9.81,9.8,9.81,9.81,9.94,10.19,10.46,10.75,11.03,11.28,11.48,11.69,11.87,11.98,11.82,11.88,,,
28,10.62,10.66,10.69,10.74,10.76,10.75,10.73,10.72,10.68,10.6,10.53,10.53,10.53,10.54,10.65,10.87,11.14,11.43,11.65,11.8,11.95,12.13,12.32,12.42,,,,,
29,11.01,11.04,11.06,11.08,11.12,11.17,11.22,11.28,11.27,11.2,11.19,11.28,11.36,11.4,11.48,11.57,11.74,11.98,12.13,12.21,12.33,12.53,12.73,12.83,,,,,
30,11.33,11.36,11.39,11.42,11.47,11.55,11.64,11.73,11.76,11.74,11.81,11.98,12.1,12.15,12.15,12.14,12.24,12.42,12.51,12.56,12.65,12.83,13.05,13.22,13.62,,,,
31,11.65,11.69,11.73,11.79,11.86,11.94,12.03,12.13,12.2,12.26,12.39,12.58,12.7,12.72,12.43,12.52,12.59,12.73,12.79,12.84,12.93,13.06,13.3,13.61,13.9,14.43,,15.16,15.1
32,12.03,12.05,12.08,12.14,12.24,12.36,12.47,12.55,12.62,12.71,12.88,13.08,13.19,13.2,,12.65,12.8,12.93,13.05,13.17,13.27,13.38,13.65,14.07,14.46,14.75,15.29,15.26,15.1
33,12.45,12.45,12.45,12.49,12.62,12.82,12.93,12.95,13.0,13.1,13.28,13.48,13.61,13.64,,,12.89,13.13,13.32,13.56,13.73,13.85,14.18,14.69,15.12,15.39,15.51,15.48,
34,12.85,12.84,12.85,12.9,13.03,13.22,13.31,13.32,13.36,13.43,13.56,13.66,13.8,14.14,,,,13.25,13.69,13.99,14.28,14.52,14.9,15.4,15.8,16.0,15.97,15.74,15.45
35,13.22,13.21,13.25,13.36,13.46,13.55,13.61,13.67,13.74,13.76,13.65,,,14.67,15.05,15.17,,,13.92,14.51,14.89,15.34,15.75,16.1,16.35,16.46,16.35,16.08,15.45
36,13.58,13.61,13.68,13.81,13.89,13.93,13.95,14.0,14.08,14.11,,,,15.05,15.14,15.17,,,,14.81,15.65,16.09,16.44,16.66,16.78,16.65,16.5,16.27,
37,13.93,14.04,14.15,14.26,14.34,14.37,14.35,14.31,14.37,14.46,,,15.28,15.26,15.26,,,,,,16.53,16.69,16.87,17.03,16.96,,,,
